trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",20,0,25.591886650288245,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",30,0,37.83859084055752,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",30,0,11.326129013842845,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",20,0,25.25353039998512,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",30,0,29.01934538537365,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",25,0,15.257416665175764,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",20,10,11.521565506589884,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",25,0,36.67382487872514,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
184,False,"{'a': 0.5, 'e': 0.07999999999999918}",20,0,28.180267590941916,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
185,False,"{'a': 0.5, 'e': 0.07499999999999918}",25,0,17.75576868206498,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
186,False,"{'a': 0.5, 'e': 0.06999999999999917}",20,0,26.063650459896643,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
187,False,"{'a': 0.5, 'e': 0.06499999999999917}",20,13,11.846782580811773,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.05999999999999917}",20,0,30.03862166718024,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
189,False,"{'a': 0.5, 'e': 0.054999999999999175}",25,0,-1.0090788078366235,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
190,False,"{'a': 0.5, 'e': 0.04999999999999918}",20,0,25.341349190991412,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,6,24.323755829723286,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,24.621685872514963,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,28.601295434567074,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,31.11363611157382,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,30.0750345403375,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,31.311271927134626,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,27.586571953887077,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,29.282485715819874,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,28.671259224959087,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",35,0,45.934068095712,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
